CODE;CODE_LABEL
H402;glaucome primitif à angle étroit
G448;autres syndromes précisés d'algies céphaliques
K766;hypertension portale
S661;lésion traumatique du muscle et du tendon fléchisseurs d'un autre doigt au niveau du poignet et de la main
K277;ulcère digestif, de siège non précisé, chronique sans hémorragie ni perforation
H405;glaucome secondaire à d'autres affections oculaires
S507;lésions traumatiques superficielles multiples de l'avant-bras
F931;trouble anxieux phobique de l'enfance
I288;autres maladies précisées des vaisseaux pulmonaires
J310;rhinite chronique
S660;lésion traumatique du muscle et du tendon longs fléchisseurs du pouce au niveau du poignet et de la main
G049;encéphalite, myélite et encéphalomyélite, sans précision
I289;maladie des vaisseaux pulmonaires, sans précision
H404;glaucome secondaire à une inflammation de l'oeil
F932;anxiété sociale de l'enfance
S747;lésion traumatique de multiples nerfs au niveau de la hanche et de la cuisse
V487;occupant d'une automobile blessé dans un accident de transport, sans collision, personne à l'extérieur du véhicule blessée dans un accident de la circulation
K764;péliose hépatique
K279;ulcère digestif, de siège non précisé, non précisé comme étant aigu ou chronique, sans hémorragie ni perforation
G048;autres encéphalites, myélites et encéphalomyélites
E509;avitaminose A, sans précision
S740;lésion traumatique du nerf sciatique au niveau de la hanche et de la cuisse
S501;Contusion de parties autres et non précisées de l'avant-bras
E212;autres hyperparathyroïdies
V210;motocycliste blessé dans une collision avec un autre cycle, conducteur blessé dans un accident en dehors de la circulation
V306;occupant d'un véhicule à moteur à trois roues, blessé dans une collision avec un piéton ou un animal, passager blessé dans un accident de la circulation
D749;méthémoglobinémie, sans précision
K272;ulcère digestif, de siège non précisé, aigu avec hémorragie et perforation
Q954;sujet avec marqueur d'hétérochromatine
H408;autres glaucomes
S741;lésion traumatique du nerf fémoral au niveau de la hanche et de la cuisse
P379;maladie infectieuse ou parasitaire congénitale, sans précision
N816;rectocèle
V361;occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur, passager blessé dans un accident en dehors de la circulation
S153;lésion traumatique de la veine jugulaire interne
M962;cyphose après irradiation
N815;entérocèle vaginale
D893;syndrome de restauration immunitaire
S152;lésion traumatique de la veine jugulaire externe
V364;occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur, personne blessée en montant ou en descendant du véhicule
N072;néphropathie héréditaire, non classée ailleurs, glomérulonéphrite membraneuse diffuse
L660;pseudo-pelade
N814;prolapsus utéro-vaginal, sans précision
D892;hypergammaglobulinémie, sans précision
S151;lésion traumatique de l'artère vertébrale
L661;lichen plano-pilaire
N071;néphropathie héréditaire, non classée ailleurs, lésions glomérulaires segmentaires et focales
V363;occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur, occupant, sans précision, d'un véhicule à moteur à trois roues, blessé dans un accident en dehors de la circulation
M963;cyphose après laminectomie
K604;fistule rectale
T456;intoxication par médicaments agissant sur la fibrinolyse
O639;travail prolongé, sans précision
V713;occupant d'un autobus blessé dans une collision avec un cycle, occupant, sans précision, d'un autobus, blessé dans un accident en dehors de la circulation
Q556;autres malformations congénitales du pénis
K605;fistule ano-rectale
T455;intoxication par anticoagulants
S340;commotion et oedème de la moelle lombaire
V712;occupant d'un autobus blessé dans une collision avec un cycle, personne à l'extérieur du véhicule blessée dans un accident en dehors de la circulation
I629;hémorragie intracrânienne (non traumatique), sans précision
T454;intoxication par fer et ses composés
K711;maladie toxique du foie avec nécrose hépatique
S341;autres lésions traumatiques de la moelle lombaire
V360;occupant d'un véhicule à moteur à trois roues blessé dans une collision avec un autre véhicule sans moteur, conducteur blessé dans un accident en dehors de la circulation
Q558;autres malformations congénitales précisées des organes génitaux de l'homme
V711;occupant d'un autobus blessé dans une collision avec un cycle, passager blessé dans un accident en dehors de la circulation
S969;lésion traumatique d'un muscle et d'un tendon non précisés, au niveau de la cheville et du pied
M189;arthrose de la première articulation carpo-métacarpienne, sans précision
R789;présence d'une substance non trouvée normalement dans le sang, sans précision
S001;Contusion de la paupière et de la région péri-oculaire
V610;occupant d'un véhicule lourd blessé dans une collision avec un cycle, conducteur blessé dans un accident en dehors de la circulation
V611;occupant d'un véhicule lourd blessé dans une collision avec un cycle, passager blessé dans un accident en dehors de la circulation
D738;autres maladies de la rate
S002;autres lésions traumatiques superficielles de la paupière et de la région péri-oculaire
S767;lésion traumatique de multiples muscles et tendons au niveau de la hanche et de la cuisse
L679;anomalie de la pigmentation et de la gaine capillaires, sans précision
V612;occupant d'un véhicule lourd blessé dans une collision avec un cycle, personne à l'extérieur du véhicule blessée dans un accident en dehors de la circulation
R787;présence d'un taux anormalement élevé de métaux lourds dans le sang
D735;infarctus de la rate
S764;lésion traumatique de muscles et de tendons autres et non précisés, au niveau de la cuisse
R786;présence d'un produit stéroïdien dans le sang
L678;autres anomalies de la pigmentation et de la gaine capillaires
V613;occupant d'un véhicule lourd blessé dans une collision avec un cycle, occupant, sans précision, d'un véhicule lourd, blessé dans un accident en dehors de la circulation
S000;lésion traumatique superficielle du cuir chevelu
H830;labyrinthite
V646;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, passager blessé dans un accident de la circulation
N808;autres endométrioses
M184;autres arthroses secondaires de la première articulation carpo-métacarpienne, bilatérale
V647;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, personne à l'extérieur du véhicule blessée dans un accident de la circulation
V645;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, conducteur blessé dans un accident de la circulation
H831;fistule labyrinthique
T68+8;hypothermie, température corporelle supérieure à 32°C ou non précisée
N809;endométriose, sans précision
S007;lésions traumatiques superficielles multiples de la tête
M183;autres arthroses post-traumatiques de la première articulation carpo-métacarpienne
H832;troubles des fonctions labyrinthiques
F780;autres formes de retard mental, déficience du comportement absent ou minime
N806;endométriose sur cicatrice cutanée
S260;lésion traumatique du coeur avec hémopéricarde
V539;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, occupant, sans précision, d'une camionnette, blessé dans un accident de la circulation
M429;ostéochondrite vertébrale, sans précision
D681;carence héréditaire en facteur XI
S017;plaies ouvertes multiples de la tête
M412;autres scolioses idiopathiques
N041;syndrome néphrotique, lésions glomérulaires segmentaires et focales
T320;corrosions couvrant moins de 10% de la surface du corps
O992;maladies endocriniennes, nutritionnelles et métaboliques compliquant la grossesse, l'accouchement et la puerpéralité
D680;maladie de von Willebrand
Q257;autres malformations congénitales de l'artère pulmonaire
I460;arrêt cardiaque réanimé avec succès
S832;déchirure récente d'un ménisque
G119;ataxie héréditaire, sans précision
M609;myosite, sans précision
P570;ictère nucléaire dû à une iso-immunisation
T321;corrosions couvrant entre 10 et moins de 20% de la surface du corps
H659;otite moyenne non suppurée, sans précision
N990;insuffisance rénale après un acte à visée diagnostique et thérapeutique
N040;syndrome néphrotique, anomalies glomérulaires mineures
O991;autres maladies du sang et des organes hématopoïétiques et certaines anomalies du système immunitaire compliquant la grossesse, l'accouchement et la puerpéralité
M419;scoliose, sans précision
Q256;sténose congénitale de l'artère pulmonaire
S833;déchirure récente du cartilage articulaire du genou
I461;mort cardiaque subite, décrite ainsi
G118;autres ataxies héréditaires
M608;autres myosites
O990;anémie compliquant la grossesse, l'accouchement et la puerpéralité
T322;corrosions couvrant entre 20 et moins de 30% de la surface du corps
N991;rétrécissement urétral après un acte à visée diagnostique et thérapeutique
M418;autres formes de scoliose
Q255;atrésie congénitale de l'artère pulmonaire
S834;entorse et foulure des ligaments latéraux du genou (interne) (externe)
Q259;malformation congénitale des gros vaisseaux, sans précision
Q710;absence congénitale complète d'un (des) membre(s) supérieur(s)
H151;épisclérite
O848;autres accouchements multiples
O801;accouchement unique et spontané par présentation du siège
N992;adhérences vaginales post-opératoires
T323;corrosions couvrant entre 30 et moins de 40% de la surface du corps
Q711;absence congénitale du bras et de l'avant-bras, main présente
F938;autres troubles émotionnels de l'enfance
S500;Contusion du coude
V489;occupant d'une automobile blessé dans un accident de transport, sans collision, occupant, sans précision, d'une automobile, blessé dans un accident de la circulation
H406;glaucome médicamenteux
V307;occupant d'un véhicule à moteur à trois roues, blessé dans une collision avec un piéton ou un animal, personne à l'extérieur du véhicule blessée dans un accident de la circulation
E213;hyperparathyroïdie, sans précision
Q955;sujet avec site autosomique fragile
E507;autres manifestations oculaires de l'avitaminose A
K273;ulcère digestif, de siège non précisé, aigu sans hémorragie ni perforation
K769;maladie du foie, sans précision
V212;motocycliste blessé dans une collision avec un autre cycle, motocycliste, sans précision, blessé dans un accident en dehors de la circulation
L681;hypertrichose lanugineuse acquise
S742;lésion traumatique d'un nerf cutané sensitif au niveau de la hanche et de la cuisse
E214;autres maladies précisées de la glande parathyroïde
E258;autres anomalies génito-surrénaliennes
Q952;réarrangement autosomique équilibré chez un sujet anormal
K274;ulcère digestif, de siège non précisé, chronique ou non précisé, avec hémorragie
E506;avitaminose A avec cicatrices xérophtalmiques de la cornée
V211;motocycliste blessé dans une collision avec un autre cycle, passager blessé dans un accident en dehors de la circulation
K768;autres maladies précisées du foie
L680;hirsutisme
J441;maladie pulmonaire obstructive chronique avec épisodes aigus, sans précision
J160;pneumopathie due à Chlamydia
E215;maladie de la glande parathyroïde, sans précision
E259;anomalie génito-surrénalienne, sans précision
V309;occupant d'un véhicule à moteur à trois roues, blessé dans une collision avec un piéton ou un animal, occupant, sans précision, d'un véhicule à moteur à trois roues, blessé dans un accident de la circulation
Q953;réarrangement sexuel/autosomique équilibré chez un sujet anormal
K275;ulcère digestif, de siège non précisé, chronique ou non précisé, avec perforation
H409;glaucome, sans précision
D748;autres méthémoglobinémies
L816;autres anomalies liées à une diminution de la formation de mélanine
S668;lésion traumatique d'autres muscles et tendons au niveau du poignet et de la main
D355;tumeur bénigne du corpuscule carotidien
M302;périartérite juvénile
M303;syndrome adéno-cutanéo-muqueux [Kawasaki]
S669;lésion traumatique d'un muscle et d'un tendon non précisés, au niveau du poignet et de la main
T453;intoxication par enzymes, non classées ailleurs
K710;maladie toxique du foie avec cholestase
S342;lésion traumatique de la racine nerveuse du rachis lombaire et sacré
M091;polyarthrite juvénile au cours de la maladie de Crohn [entérite régionale]
Q909;syndrome de Down, sans précision
V710;occupant d'un autobus blessé dans une collision avec un cycle, conducteur blessé dans un accident en dehors de la circulation
S968;lésion traumatique d'autres muscles et tendons au niveau de la cheville et du pied
E849;fibrose kystique, sans précision
Q559;malformation congénitale des organes génitaux de l'homme, sans précision
K600;fissure anale aiguë
K713;maladie toxique du foie avec hépatite chronique persistante
S343;lésion traumatique de la queue de cheval
E711;autres anomalies du métabolisme des acides aminés à chaîne ramifiée
O899;complication de l'anesthésie au cours de la puerpéralité, sans précision
Q552;autres malformations congénitales du (des) testicule(s) et du scrotum
E848;fibrose kystique avec autres manifestations
S967;lésion traumatique de multiples muscles et tendons au niveau de la cheville et du pied
P370;tuberculose congénitale
D899;anomalie du système immunitaire, sans précision
K712;maladie toxique du foie avec hépatite aiguë
S344;lésion traumatique du plexus lombo-sacré
T451;intoxication par médicaments antitumoraux et immunosuppresseurs
E712;anomalie du métabolisme des acides aminés à chaîne ramifiée, sans précision
K601;fissure anale chronique
R788;présence d'autres substances précisées non trouvées normalement dans le sang
O898;autres complications de l'anesthésie au cours de la puerpéralité
Q553;atrésie du canal déférent
D898;autres anomalies précisées du système immunitaire, non classées ailleurs
S345;lésion traumatique des nerfs sympathiques lombaires, sacrés et du bassin
P371;toxoplasmose congénitale
K715;maladie toxique du foie avec hépatite chronique active
O309;grossesse multiple, sans précision
K602;fissure anale, sans précision
J439;emphysème, sans précision
L278;dermite due à d'autres substances prises par voie interne
Q554;autres malformations congénitales du canal déférent, de l'épididyme, des vésicules séminales et de la prostate
K714;maladie toxique du foie avec hépatite chronique lobulaire
S003;lésion traumatique superficielle du nez
D739;maladie de la rate, sans précision
V649;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, occupant, sans précision, d'un véhicule lourd, blessé dans un accident de la circulation
Q042;holoprosencéphalie
H833;conséquences du bruit sur l'oreille interne
S005;lésion traumatique superficielle de la lèvre et de la cavité buccale
F781;autres formes de retard mental, déficience du comportement significatif, nécessitant une surveillance ou traitement
S004;lésion traumatique superficielle de l'oreille
Q041;arhinencéphalie
M185;autres arthroses secondaires de la première articulation carpo-métacarpienne
I651;occlusion et sténose de l'artère basilaire
O833;accouchement d'un foetus viable après grossesse abdominale
V536;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, passager blessé dans un accident de la circulation
L303;dermite infectée
V537;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, personne à l'extérieur du véhicule blessée dans un accident de la circulation
E508;autres manifestations de l'avitaminose A
R780;présence d'alcool dans le sang
V642;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, personne à l'extérieur du véhicule blessée dans un accident en dehors de la circulation
I650;occlusion et sténose de l'artère vertébrale
N486;induration plastique des corps caverneux
D730;hyposplénisme
V535;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, conducteur blessé dans un accident de la circulation
L302;autosensibilisation cutanée
O832;autres accouchements uniques avec l'aide de manipulations
V641;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, passager blessé dans un accident en dehors de la circulation
V534;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, personne blessée en montant ou en descendant du véhicule
N489;affection de la verge, sans précision
L305;pityriasis alba
U800;agents résistant à la pénicilline
S008;lésion traumatique superficielle d'autres parties de la tête
M464;discite, sans précision
V644;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, personne blessée en montant ou en descendant du véhicule
V533;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, occupant, sans précision, d'une camionnette, blessé dans un accident en dehors de la circulation
N488;autres affections précisées de la verge
T325;corrosions couvrant entre 50 et moins de 60% de la surface du corps
Q258;autres malformations congénitales des gros vaisseaux
S835;entorse et foulure des ligaments croisés du genou (antérieur) (postérieur)
I052;sténose mitrale avec insuffisance
I868;varices d'autres localisations précisées
N993;prolapsus de la paroi supérieure du vagin après hystérectomie
O849;accouchements multiples, sans précision
H150;sclérite
H690;distension de la trompe d'Eustache
T324;corrosions couvrant entre 40 et moins de 50% de la surface du corps
O800;accouchement unique et spontané par présentation du sommet
D233;tumeur bénigne de la peau des parties de la face, autres et non précisées
S624;fractures multiples des métacarpiens
J050;laryngite obstructive aiguë [croup]
G114;paraplégie spastique héréditaire
K508;autres formes de la maladie de Crohn
D232;tumeur bénigne de la peau de l'oreille et du conduit auditif externe
S489;amputation traumatique de l'épaule et du bras, niveau non précisé
J039;amygdalite aiguë, sans précision
J051;épiglottite aiguë
N952;vaginite atrophique post-ménopausique
S625;fracture du pouce
O868;autres infections puerpérales précisées
K509;maladie de Crohn, sans précision
S091;lésion traumatique des muscles et des tendons de la tête
D688;autres anomalies précisées de la coagulation
D231;tumeur bénigne de la peau de la paupière, y compris le canthus
T393;intoxication par autres anti-inflammatoires non stéroïdiens [AINS]
N951;troubles de la ménopause et du climatère féminin
S626;fracture d'un autre doigt
G112;ataxie cérébelleuse tardive
D689;anomalie de la coagulation, sans précision
S092;rupture traumatique du tympan
T394;intoxication par antirhumatismaux, non classés ailleurs
S627;fractures multiples de doigts
G113;ataxie cérébelleuse avec défaut de réparation de l'ADN
D682;carence héréditaire en autres facteurs de coagulation
E742;anomalies du métabolisme du galactose
O998;autres maladies et affections précisées compliquant la grossesse, l'accouchement et la puerpéralité
D320;tumeur bénigne des méninges cérébrales
L817;dermatose purpurique pigmentée
Q506;autres malformations congénitales des trompes de Fallope et des ligaments larges
D354;tumeur bénigne de l'épiphyse
F909;trouble hyperkinétique, sans précision
F908;autres troubles hyperkinétiques
S547;lésion traumatique de multiples nerfs au niveau de l'avant-bras
R309;miction douloureuse, sans précision
Q811;épidermolyse bulleuse létale
Q505;kyste embryonnaire du ligament large
U839;résistance à un antibiotique non précisé
L814;autres hyperpigmentations par la mélanine
L682;hypertrichose localisée
D357;tumeur bénigne d'autres glandes endocrines précisées
M300;périartérite noueuse
Q504;kyste embryonnaire de la trompe de Fallope
L815;leucodermie, non classée ailleurs
U838;résistance à un seul autre antibiotique précisé
S541;lésion traumatique du nerf médian au niveau de l'avant-bras
D356;tumeur bénigne du glomus aortique et autres paraganglions
M301;périartérite avec atteinte pulmonaire [Churg-Strauss]
L683;polytrichie
L812;taches de rousseur
J449;maladie pulmonaire obstructive chronique, sans précision
D351;tumeur bénigne d'une parathyroïde
V391;passager blessé dans une collision avec des véhicules à moteur, autres et sans précision, dans un accident en dehors de la circulation
I119;cardiopathie hypertensive, sans insuffisance cardiaque (congestive)
L688;autres formes d'hypertrichose
S663;lésion traumatique du muscle et du tendon extenseurs d'un autre doigt au niveau du poignet et de la main
J448;autres maladies pulmonaires obstructives chroniques précisées
L813;taches café au lait
R570;choc cardiogénique
S665;lésion traumatique de muscles et de tendons intrinsèques d'un autre doigt au niveau du poignet et de la main
K761;congestion passive chronique du foie
D350;tumeur bénigne de la surrénale
V392;occupant, sans précision, d'un véhicule à moteur à trois roues, blessé dans une collision avec des véhicules à moteur, autres et sans précision, dans un accident en dehors de la circulation
L689;hypertrichose, sans précision
D309;tumeur bénigne d'un organe urinaire, sans précision
S664;lésion traumatique de muscles et de tendons intrinsèques du pouce au niveau du poignet et de la main
S346;lésion traumatique de nerf(s) périphérique(s) de l'abdomen, des lombes et du bassin
P372;listériose du nouveau-né (disséminée)
E710;maladie des urines à odeur de sirop d'érable
O308;autres grossesses multiples
K603;fistule anale
J438;autres emphysèmes
O632;accouchement retardé du deuxième jumeau, triplé, etc.
L279;dermite due à une substance non précisée prise par voie interne
Q555;absence et aplasie congénitales du pénis
O896;échec ou difficulté d'intubation au cours de la puerpéralité
R203;hyperesthésie
G501;algie faciale atypique
M203;autres déformations du gros orteil
V540;occupant d'une camionnette blessé dans une collision avec un véhicule lourd ou un autobus, conducteur blessé dans un accident en dehors de la circulation
K433;hernie péristomiale, avec occlusion sans gangrène
T467;intoxication par vasodilatateurs périphériques
E880;anomalies du métabolisme des protéines plasmatiques, non classés ailleurs
J953;insuffisance pulmonaire chronique consécutive à une intervention chirurgicale
R190;tuméfaction et masse intra-abdominales et pelviennes
R202;paresthésie cutanée
G500;névralgie du trijumeau
K432;éventration post-opératoire, sans occlusion ni gangrène
O888;autres embolies obstétricales
M202;Hallux rigidus
T468;intoxication par substances antivariqueuses, y compris les agents sclérosants
E881;lipodystrophie, non classée ailleurs
J952;insuffisance pulmonaire aiguë consécutive à une intervention chirurgicale non thoracique
N209;calcul urinaire, sans précision
N163;maladie rénale tubulo-interstitielle au cours de maladies métaboliques
R191;bruits abdominaux anormaux
S851;lésion traumatique de l'artère tibiale (antérieure) (postérieure)
F920;troubles des conduites avec dépression
K435;hernie péristomiale, sans occlusion ni gangrène
J951;insuffisance pulmonaire aiguë consécutive à une intervention chirurgicale thoracique
E882;lipomatose, non classée ailleurs
D302;tumeur bénigne de l'uretère
S437;entorse et foulure de parties autres et non précisées de la ceinture scapulaire
R192;péristaltisme apparent
S850;lésion traumatique de l'artère poplitée
O834;intervention destructrice lors d'un accouchement
S009;lésion traumatique superficielle de la tête, partie non précisée
M465;autres spondylopathies infectieuses
L304;intertrigo érythémateux
U801;agents résistant à la méthicilline
V643;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, occupant, sans précision, d'un véhicule lourd, blessé dans un accident en dehors de la circulation
V532;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, personne à l'extérieur du véhicule blessée dans un accident en dehors de la circulation
D733;abcès de la rate
T68+0;hypothermie, température corporelle égale ou inférieure à 32°C
R785;présence d'une substance psychotrope dans le sang
R784;présence dans le sang d'autres substances susceptibles d'entraîner une dépendance
M462;ostéomyélite vertébrale
S270;pneumothorax traumatique
V531;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, passager blessé dans un accident en dehors de la circulation
D734;kyste de la rate
R783;présence d'hallucinogène dans le sang
M463;infection (pyogène) d'un disque intervertébral
O839;accouchement unique avec assistance, sans précision
V530;occupant d'une camionnette blessé dans une collision avec une automobile ou une camionnette, conducteur blessé dans un accident en dehors de la circulation
R782;présence de cocaïne dans le sang
V640;occupant d'un véhicule lourd blessé dans une collision avec un véhicule lourd ou un autobus, conducteur blessé dans un accident en dehors de la circulation
L658;autres formes non cicatricielles précisées de raréfaction du système pileux
M460;enthésopathie spinale
L309;dermite, sans précision
E440;malnutrition protéino-énergétique modérée
D732;splénomégalie congestive chronique
O838;autres accouchements uniques précisés, avec assistance
M461;sacro-iliite, non classée ailleurs
E441;malnutrition protéino-énergétique légère
R781;présence d'opiacé dans le sang
L659;raréfaction du système pileux non cicatricielle, sans précision
L308;autres dermites précisées
S273;autres lésions traumatiques du poumon
D161;tumeur bénigne des os courts du membre supérieur
M650;abcès de la gaine du tendon
S274;lésion traumatique des bronches
D160;tumeur bénigne de l'omoplate et des os longs du membre supérieur
M410;scoliose idiopathique infantile
S628;fracture de parties autres et non précisées du poignet et de la main
G110;ataxie congénitale non progressive
E743;autres anomalies de l'absorption intestinale des hydrates de carbone
N978;stérilité de la femme d'autres origines
T391;intoxication par dérivés du 4-aminophénol
D321;tumeur bénigne des méninges rachidiennes
D683;troubles hémorragiques dus à des anticoagulants circulants
O864;hyperthermie d'origine inconnue, après accouchement
G460;syndrome de l'artère cérébrale moyenne
M411;scoliose juvénile idiopathique
G111;ataxie cérébelleuse à début précoce
N979;stérilité de la femme, sans précision
E744;anomalies du métabolisme du pyruvate et de la gluconéogénèse
T392;intoxication par dérivés pyrazolés
O996;maladies de l'appareil digestif compliquant la grossesse, l'accouchement et la puerpéralité
E740;thésaurismose glycogénique
D684;carence acquise en facteur de coagulation
G463;syndromes vasculaires du tronc cérébral
E638;autres carences nutritionnelles précisées
E741;anomalies du métabolisme du fructose
O997;maladies de la peau et du tissu cellulaire sous-cutané compliquant la grossesse, l'accouchement et la puerpéralité
D685;thrombophilie primaire
Q250;perméabilité du canal artériel
T390;intoxication par salicylés
K500;maladie de Crohn de l'intestin grêle
O861;autres infections des voies génitales, après accouchement
S868;lésion traumatique d'autres muscles et tendons au niveau de la jambe
E748;autres anomalies précisées du métabolisme des hydrates de carbone
K501;maladie de Crohn du gros intestin
S869;lésion traumatique d'un muscle et d'un tendon non précisés, au niveau de la jambe
O860;infection d'une plaie d'origine obstétricale chirurgicale
G464;syndrome cérébelleux vasculaire
S481;amputation traumatique entre l'épaule et le coude
M254;épanchement articulaire
O863;autres infections des voies génito-urinaires, après accouchement
Q751;dysostose crânio-faciale
S099;lésion traumatique de la tête, sans précision
S480;amputation traumatique de l'articulation de l'épaule
S666;lésion traumatique de multiples muscles et tendons fléchisseurs au niveau du poignet et de la main
R571;choc hypovolémique
L810;hyperpigmentation postinflammatoire
S543;lésion traumatique d'un nerf sensitif cutané au niveau de l'avant-bras
P569;anasarque foetoplacentaire due à des maladies hémolytiques, autres et sans précision
D353;tumeur bénigne du canal cranio-pharyngien
S667;lésion traumatique de multiples muscles et tendons extenseurs au niveau du poignet et de la main
R572;choc septique
L811;chloasma
V390;conducteur blessé dans une collision avec des véhicules à moteur, autres et sans précision, dans un accident en dehors de la circulation
D352;tumeur bénigne de l'hypophyse
K763;infarctus hépatique
D307;tumeur bénigne d'autres organes urinaires
Q819;épidermolyse bulleuse, sans précision
U831;résistance à d'autres antibiotiques apparentés à la vancomycine
S772;écrasement de la hanche et de la cuisse
R301;ténesme vésical
Q818;autres épidermolyses bulleuses
U830;résistance à la vancomycine
R300;dysurie
S771;écrasement de la cuisse
R578;autres chocs
V609;occupant d'un véhicule lourd blessé dans une collision avec un piéton ou un animal, occupant, sans précision, d'un véhicule lourd, blessé dans un accident de la circulation
Q742;autres malformations congénitales d'un (des) membre(s) inférieur(s), y compris la ceinture pelvienne
Q503;autres malformations congénitales de l'ovaire
I350;sténose (de la valvule) aortique
R579;choc, sans précision
Q502;torsion congénitale de l'ovaire
I351;insuffisance (de la valvule) aortique
Q812;épidermolyse bulleuse dystrophique
I110;cardiopathie hypertensive, avec insuffisance cardiaque (congestive)
U832;résistance aux quinolones
Q743;arthrogrypose congénitale multiple
L819;anomalie de la pigmentation, sans précision
L818;autres anomalies précisées de la pigmentation
P560;anasarque foetoplacentaire due à une iso-immunisation
Q740;autres malformations congénitales d'un (des) membre(s) supérieur(s), y compris la ceinture scapulaire
V607;occupant d'un véhicule lourd blessé dans une collision avec un piéton ou un animal, personne à l'extérieur du véhicule blessée dans un accident de la circulation
M200;déformation de(s) doigt(s)
J950;fonctionnement défectueux d'une trachéotomie
K434;hernie péristomiale, avec gangrène
E883;syndrome de lyse tumorale
T466;intoxication par antihyperlipidémiants et antiartériosclérosants
R270;ataxie, sans précision
S436;entorse et foulure de l'articulation sterno-claviculaire
J661;maladie des apprêteurs du lin
K461;hernie abdominale non précisée, avec gangrène
K765;maladie veino-occlusive du foie
P559;maladie hémolytique du foetus et du nouveau-né, sans précision
V544;occupant d'une camionnette blessé dans une collision avec un véhicule lourd ou un autobus, personne blessée en montant ou en descendant du véhicule
S435;entorse et foulure de l'articulation acromio-claviculaire
T180;corps étranger dans la bouche
K437;hernie de la paroi abdominale antérieure autre et non précisée, avec gangrène
L639;pelade, sans précision
J660;byssinose
K460;hernie abdominale non précisée, avec occlusion, sans gangrène
S852;lésion traumatique de l'artère péronière
N168;maladie rénale tubulo-interstitielle au cours d'autres maladies classées ailleurs
R950;syndrome de la mort subite du nourrisson avec mention d'autopsie
P558;autres maladies hémolytiques du foetus et du nouveau-né
V543;occupant d'une camionnette blessé dans une collision avec un véhicule lourd ou un autobus, occupant, sans précision, d'une camionnette, blessé dans un accident en dehors de la circulation
S434;entorse et foulure de l'articulation de l'épaule
L638;autres formes de pelade
K436;hernie de la paroi abdominale antérieure autre et non précisée, avec occlusion sans gangrène
S855;lésion traumatique de la veine poplitée
R201;hypoesthésie cutanée
S432;luxation de l'articulation sterno-claviculaire
V542;occupant d'une camionnette blessé dans une collision avec un véhicule lourd ou un autobus, personne à l'extérieur du véhicule blessée dans un accident en dehors de la circulation
S433;luxation de parties autres et non précisées de la ceinture scapulaire
S948;lésion traumatique d'autres nerfs au niveau de la cheville et du pied
T469;intoxication par substances agissant essentiellement sur le système cardio-vasculaire, autres et sans précision
K439;hernie de la paroi abdominale antérieure autre et non précisée, sans occlusion ni gangrène
G508;autres affections du nerf trijumeau
S854;lésion traumatique de la veine saphène externe au niveau de la jambe
R200;anesthésie cutanée
H959;affection de l'oreille et de l'apophyse mastoïde après un acte à visée diagnostique et thérapeutique, sans précision
L918;autres affections hypertrophiques de la peau
M651;autres (téno)synovites infectieuses
S271;hémothorax traumatique
Q169;malformation congénitale de l'oreille avec atteinte de l'audition, sans précision
T318;brûlures couvrant entre 80 et moins de 90% de la surface du corps
H201;iridocyclite chronique
H063;autres affections de l'orbite au cours de maladies classées ailleurs
P701;syndrome de l'enfant de mère diabétique
I368;autres atteintes non rhumatismales de la valvule tricuspide
S272;hémopneumothorax traumatique
P700;syndrome de l'enfant dont la mère a un diabète de la grossesse
T319;brûlures couvrant 90% ou plus de la surface du corps
U808;agents résistant à d'autres antibiotiques apparentés à la pénicilline
H200;iridocyclite aiguë et subaiguë
D097;carcinome in situ d'autres sièges précisés
G951;myélopathies vasculaires
I369;atteinte non rhumatismale de la valvule tricuspide, sans précision
S277;lésions traumatiques multiples des organes intrathoraciques
D165;tumeur bénigne du maxillaire inférieur
D090;carcinome in situ de la vessie
P201;hypoxie intra-utérine constatée pour la première fois pendant le travail et l'accouchement
G952;compression médullaire, sans précision
H061;infection parasitaire de l'orbite au cours de maladies classées ailleurs
F539;trouble mental de la puerpéralité, sans précision
D091;carcinome in situ d'organes urinaires, autres et non précisés
